Model,Train_size,Test_RMSE,Test_R,Test_R2
Wild-type EGFR,14098,0.8895711183843155,0.7361811103275993,0.5335392045784214
T790M (real only),1552,0.9201500865433552,0.4001703819759148,0.15513502894069786
T790M (+pseudo-labeling),13900,0.7173406123019042,0.6979382055366625,0.48652323086491944
