Model,Train_size,Test_size,Test_RMSE,Test_R,Test_R2
Wild-type EGFR,14098,1763,0.8895711183843155,0.7361811103275993,0.5335392045784214
L858R/T790M,1552,195,0.9201500865433552,0.4001703819759148,0.15513502894069786
